Datum,Value,Code
2012-04-06 00:00:00,701,TB80120G
2012-04-07 00:00:00,591,A01-80-(30)
2012-04-07 00:00:00,1356,AHEK
2012-04-07 00:00:00,44,C02-80
2012-04-07 00:00:00,707,J16-90
2012-04-07 00:00:00,891,PB6090
2012-04-07 00:00:00,684,TB80120G
2012-04-08 00:00:00,591,A01-80-(30)
2012-04-08 00:00:00,1356,AHEK
2012-04-08 00:00:00,44,C02-80
2012-04-08 00:00:00,707,J16-90
2012-04-08 00:00:00,891,PB6090
2012-04-08 00:00:00,684,TB80120G
2012-04-09 00:00:00,591,A01-80-(30)
2012-04-09 00:00:00,1350,AHEK
2012-04-09 00:00:00,44,C02-80
2012-04-09 00:00:00,707,J16-90
2012-04-09 00:00:00,891,PB6090
2012-04-09 00:00:00,683,TB80120G
2012-04-10 00:00:00,627,A01-80-(30)
2012-04-10 00:00:00,1479,AHEK
2012-04-10 00:00:00,47,C02-80
2012-04-10 00:00:00,790,J16-90
2012-04-10 00:00:00,984,PB6090
2012-04-10 00:00:00,722,TB80120G
2012-04-11 00:00:00,619,A01-80-(30)
2012-04-11 00:00:00,1396,AHEK
2012-04-11 00:00:00,45,C02-80
2012-04-11 00:00:00,777,J16-90
2012-04-11 00:00:00,949,PB6090
2012-04-11 00:00:00,688,TB80120G
2012-04-12 00:00:00,623,A01-80-(30)
2012-04-12 00:00:00,1429,AHEK
2012-04-12 00:00:00,45,C02-80
2012-04-12 00:00:00,791,J16-90
2012-04-12 00:00:00,934,PB6090
2012-04-12 00:00:00,689,TB80120G
2012-04-13 00:00:00,621,A01-80-(30)
2012-04-13 00:00:00,1454,AHEK
2012-04-13 00:00:00,45,C02-80
2012-04-13 00:00:00,783,J16-90
2012-04-13 00:00:00,929,PB6090
2012-04-13 00:00:00,688,TB80120G
2012-04-14 00:00:00,575,A01-80-(30)
2012-04-14 00:00:00,1359,AHEK
2012-04-14 00:00:00,45,C02-80
2012-04-14 00:00:00,717,J16-90
2012-04-14 00:00:00,881,PB6090
2012-04-14 00:00:00,664,TB80120G
2012-04-15 00:00:00,575,A01-80-(30)
2012-04-15 00:00:00,1365,AHEK
2012-04-15 00:00:00,45,C02-80
2012-04-15 00:00:00,717,J16-90
2012-04-15 00:00:00,881,PB6090
2012-04-15 00:00:00,664,TB80120G
2012-04-16 00:00:00,593,A01-80-(30)
2012-04-16 00:00:00,1520,AHEK
2012-04-16 00:00:00,45,C02-80
2012-04-16 00:00:00,741,J16-90
2012-04-16 00:00:00,909,PB6090
2012-04-16 00:00:00,703,TB80120G
2012-04-17 00:00:00,562,A01-80-(30)
2012-04-17 00:00:00,1486,AHEK
2012-04-17 00:00:00,39,C02-80
2012-04-17 00:00:00,690,J16-90
2012-04-17 00:00:00,856,PB6090
2012-04-17 00:00:00,678,TB80120G
2012-04-18 00:00:00,425,A01-80-(30)
2012-04-18 00:00:00,1461,AHEK
2012-04-18 00:00:00,32,C02-80
2012-04-18 00:00:00,710,J16-90
2012-04-18 00:00:00,904,PB6090
2012-04-18 00:00:00,589,TB80120G
2012-04-19 00:00:00,425,A01-80-(30)
2012-04-19 00:00:00,1474,AHEK
2012-04-19 00:00:00,33,C02-80
2012-04-19 00:00:00,714,J16-90
2012-04-19 00:00:00,955,PB6090
2012-04-19 00:00:00,577,TB80120G
2012-04-20 00:00:00,435,A01-80-(30)
2012-04-20 00:00:00,1485,AHEK
2012-04-20 00:00:00,32,C02-80
2012-04-20 00:00:00,733,J16-90
