Datum,Value,Code
2022-03-04 00:00:00,17225,BAAK
2022-03-04 00:00:00,18346,P3
2022-03-03 00:00:00,17072,BAAK
2022-03-03 00:00:00,18054,P3
2022-03-02 00:00:00,16900,BAAK
2022-03-02 00:00:00,17903,P3
2022-03-01 00:00:00,16773,BAAK
2022-03-01 00:00:00,17730,P3
2022-02-28 00:00:00,16482,BAAK
2022-02-28 00:00:00,17896,P3
2022-02-27 00:00:00,15316,BAAK
2022-02-27 00:00:00,16635,P3
2022-02-26 00:00:00,15334,BAAK
2022-02-26 00:00:00,16646,P3
2022-02-25 00:00:00,16829,BAAK
2022-02-25 00:00:00,17930,P3
2022-02-24 00:00:00,16602,BAAK
2022-02-24 00:00:00,17834,P3
2022-02-23 00:00:00,16730,BAAK
2022-02-23 00:00:00,17861,P3
2022-02-22 00:00:00,16809,BAAK
2022-02-22 00:00:00,17783,P3
2022-02-21 00:00:00,16825,BAAK
2022-02-21 00:00:00,17448,P3
2022-02-20 00:00:00,15723,BAAK
2022-02-20 00:00:00,15964,P3
2022-02-19 00:00:00,15711,BAAK
2022-02-19 00:00:00,16021,P3
2022-02-18 00:00:00,16539,BAAK
2022-02-18 00:00:00,17243,P3
2022-02-17 00:00:00,16773,BAAK
2022-02-17 00:00:00,16592,P3
2022-02-16 00:00:00,16842,BAAK
2022-02-16 00:00:00,16407,P3
2022-02-15 00:00:00,16748,BAAK
2022-02-15 00:00:00,16732,P3
2022-02-14 00:00:00,16760,BAAK
2022-02-14 00:00:00,16959,P3
2022-02-13 00:00:00,15175,BAAK
2022-02-13 00:00:00,15803,P3
2022-02-12 00:00:00,15175,BAAK
2022-02-12 00:00:00,15805,P3
2022-02-11 00:00:00,16056,BAAK
2022-02-11 00:00:00,16780,P3
2022-02-10 00:00:00,16099,BAAK
2022-02-10 00:00:00,16594,P3
2022-02-09 00:00:00,16331,BAAK
2022-02-09 00:00:00,16921,P3
2022-02-08 00:00:00,16274,BAAK
2022-02-08 00:00:00,16841,P3
2022-02-07 00:00:00,16084,BAAK
2022-02-07 00:00:00,17174,P3
2022-02-06 00:00:00,14794,BAAK
2022-02-06 00:00:00,15857,P3
2022-02-05 00:00:00,14824,BAAK
2022-02-05 00:00:00,15760,P3
2022-02-04 00:00:00,16032,BAAK
2022-02-04 00:00:00,17037,P3
2022-02-03 00:00:00,15981,BAAK
2022-02-03 00:00:00,16446,P3
2022-02-02 00:00:00,16097,BAAK
2022-02-02 00:00:00,16578,P3
2022-02-01 00:00:00,15947,BAAK
2022-02-01 00:00:00,16477,P3
2022-01-31 00:00:00,16357,BAAK
2022-01-31 00:00:00,16687,P3
2022-01-30 00:00:00,15240,BAAK
2022-01-30 00:00:00,15720,P3
2022-01-29 00:00:00,15242,BAAK
2022-01-29 00:00:00,15696,P3
2022-01-28 00:00:00,16057,BAAK
2022-01-28 00:00:00,16546,P3
2022-01-27 00:00:00,15520,BAAK
2022-01-27 00:00:00,16082,P3
2022-01-26 00:00:00,15632,BAAK
2022-01-26 00:00:00,16478,P3
2022-01-25 00:00:00,15719,BAAK
2022-01-25 00:00:00,16510,P3
2022-01-24 00:00:00,15551,BAAK
2022-01-24 00:00:00,16660,P3
2022-01-23 00:00:00,14274,BAAK
2022-01-23 00:00:00,15435,P3
2022-01-22 00:00:00,14304,BAAK
2022-01-22 00:00:00,15431,P3
2022-01-21 00:00:00,15572,BAAK
2022-01-21 00:00:00,16534,P3
2022-01-20 00:00:00,15446,BAAK
2022-01-20 00:00:00,16082,P3
2022-01-19 00:00:00,15487,BAAK
2022-01-19 00:00:00,15897,P3
2022-01-18 00:00:00,14913,BAAK
2022-01-18 00:00:00,15650,P3
2022-01-17 00:00:00,14929,BAAK
