Datum,Value,Code
2007-02-22 00:00:00,6,C02-80
2007-02-22 00:00:00,326,J16-90
2007-02-22 00:00:00,351,PB6090
2007-02-22 00:00:00,170,TB80120G
2007-02-23 00:00:00,239,A01-80-(30)
2007-02-23 00:00:00,1186,AHEK
2007-02-23 00:00:00,6,C02-80
2007-02-23 00:00:00,338,J16-90
2007-02-23 00:00:00,349,PB6090
2007-02-23 00:00:00,167,TB80120G
2007-02-24 00:00:00,204,A01-80-(30)
2007-02-24 00:00:00,1129,AHEK
2007-02-24 00:00:00,6,C02-80
2007-02-24 00:00:00,299,J16-90
2007-02-24 00:00:00,339,PB6090
2007-02-24 00:00:00,165,TB80120G
2007-02-25 00:00:00,204,A01-80-(30)
2007-02-25 00:00:00,1129,AHEK
2007-02-25 00:00:00,6,C02-80
2007-02-25 00:00:00,299,J16-90
2007-02-25 00:00:00,339,PB6090
2007-02-25 00:00:00,165,TB80120G
2007-02-26 00:00:00,223,A01-80-(30)
2007-02-26 00:00:00,1210,AHEK
2007-02-26 00:00:00,10,C02-80
2007-02-26 00:00:00,327,J16-90
2007-02-26 00:00:00,367,PB6090
2007-02-26 00:00:00,184,TB80120G
2007-02-27 00:00:00,215,A01-80-(30)
2007-02-27 00:00:00,1173,AHEK
2007-02-27 00:00:00,10,C02-80
2007-02-27 00:00:00,298,J16-90
2007-02-27 00:00:00,352,PB6090
2007-02-27 00:00:00,172,TB80120G
2007-02-28 00:00:00,222,A01-80-(30)
2007-02-28 00:00:00,1127,AHEK
2007-02-28 00:00:00,10,C02-80
2007-02-28 00:00:00,291,J16-90
2007-02-28 00:00:00,352,PB6090
2007-02-28 00:00:00,172,TB80120G
2007-03-01 00:00:00,212,A01-80-(30)
2007-03-01 00:00:00,1118,AHEK
2007-03-01 00:00:00,10,C02-80
2007-03-01 00:00:00,282,J16-90
2007-03-01 00:00:00,373,PB6090
2007-03-01 00:00:00,179,TB80120G
2007-03-02 00:00:00,221,A01-80-(30)
2007-03-02 00:00:00,1132,AHEK
2007-03-02 00:00:00,10,C02-80
2007-03-02 00:00:00,292,J16-90
2007-03-02 00:00:00,371,PB6090
2007-03-02 00:00:00,181,TB80120G
2007-03-03 00:00:00,196,A01-80-(30)
2007-03-03 00:00:00,1021,AHEK
